region,race,gender,age,_NAME_,s,u,total
1,o,f,1,count,19,35,54
1,o,f,2,count,22,20,42
1,o,f,3,count,15,10,25
1,o,m,1,count,38,33,71
1,o,m,2,count,32,11,43
1,o,m,3,count,21,8,29
1,w,f,1,count,60,57,117
1,w,f,2,count,35,19,54
1,w,f,3,count,70,30,100
1,w,m,1,count,288,177,465
1,w,m,2,count,224,166,390
1,w,m,3,count,337,172,509
2,o,f,1,count,13,7,20
2,o,f,2,count,0,3,3
2,o,f,3,count,1,1,2
2,o,m,1,count,18,6,24
2,o,m,2,count,7,2,9
2,o,m,3,count,9,2,11
2,w,f,1,count,19,12,31
2,w,f,2,count,12,5,17
2,w,f,3,count,17,2,19
2,w,m,1,count,90,45,135
2,w,m,2,count,96,42,138
2,w,m,3,count,124,39,163
3,o,f,1,count,47,35,82
3,o,f,2,count,13,7,20
3,o,f,3,count,9,2,11
3,o,m,1,count,45,31,76
3,o,m,2,count,18,3,21
3,o,m,3,count,11,2,13
3,w,f,1,count,88,57,145
3,w,f,2,count,44,34,78
3,w,f,3,count,70,25,95
3,w,m,1,count,226,128,354
3,w,m,2,count,189,117,306
3,w,m,3,count,156,73,229
4,o,f,1,count,66,56,122
4,o,f,2,count,25,19,44
4,o,f,3,count,11,12,23
4,o,m,1,count,40,25,65
4,o,m,2,count,19,11,30
4,o,m,3,count,22,2,24
4,w,f,1,count,110,93,203
4,w,f,2,count,53,24,77
4,w,f,3,count,60,47,107
4,w,m,1,count,285,179,464
4,w,m,2,count,225,141,366
4,w,m,3,count,324,140,464
5,o,f,1,count,25,16,41
5,o,f,2,count,11,5,16
5,o,f,3,count,4,5,9
5,o,m,1,count,36,20,56
5,o,m,2,count,9,7,16
5,o,m,3,count,16,3,19
5,w,f,1,count,176,151,327
5,w,f,2,count,80,40,120
5,w,f,3,count,110,40,150
5,w,m,1,count,270,180,450
5,w,m,2,count,215,108,323
5,w,m,3,count,269,136,405
6,o,f,1,count,45,36,81
6,o,f,2,count,8,4,12
6,o,f,3,count,2,0,2
6,o,m,1,count,69,27,96
6,o,m,2,count,14,7,21
6,o,m,3,count,14,5,19
6,w,f,1,count,97,61,158
6,w,f,2,count,47,27,74
6,w,f,3,count,62,24,86
6,w,m,1,count,252,126,378
6,w,m,2,count,162,72,234
6,w,m,3,count,199,93,292
7,o,f,1,count,22,15,37
7,o,f,2,count,10,8,18
7,o,f,3,count,6,2,8
7,o,m,1,count,45,16,61
7,o,m,2,count,15,10,25
7,o,m,3,count,8,6,14
7,w,f,1,count,62,33,95
7,w,f,2,count,20,10,30
7,w,f,3,count,25,10,35
7,w,m,1,count,119,58,177
7,w,m,2,count,66,20,86
7,w,m,3,count,67,21,88
