color,spine,width,satell,weight,y,n,dark,weight2
2,3,28.3,8,3.05,1,1,1,9.3025
3,3,22.5,0,1.55,0,1,1,2.4025
1,1,26,9,2.3,1,1,1,5.29
3,3,24.8,0,2.1,0,1,1,4.41
3,3,26,4,2.6,1,1,1,6.76
2,3,23.8,0,2.1,0,1,1,4.41
1,1,26.5,0,2.35,0,1,1,5.5225
3,2,24.7,0,1.9,0,1,1,3.61
2,1,23.7,0,1.95,0,1,1,3.8025
3,3,25.6,0,2.15,0,1,1,4.6225
3,3,24.3,0,2.15,0,1,1,4.6225
2,3,25.8,0,2.65,0,1,1,7.0225
2,3,28.2,11,3.05,1,1,1,9.3025
4,2,21,0,1.85,0,1,0,3.4225
2,1,26,14,2.3,1,1,1,5.29
1,1,27.1,8,2.95,1,1,1,8.7025
2,3,25.2,1,2,1,1,1,4
2,3,29,1,3,1,1,1,9
4,3,24.7,0,2.2,0,1,0,4.84
2,3,27.4,5,2.7,1,1,1,7.29
2,2,23.2,4,1.95,1,1,1,3.8025
1,2,25,3,2.3,1,1,1,5.29
2,1,22.5,1,1.6,1,1,1,2.56
3,3,26.7,2,2.6,1,1,1,6.76
4,3,25.8,3,2,1,1,0,4
4,3,26.2,0,1.3,0,1,0,1.69
2,3,28.7,3,3.15,1,1,1,9.9225
2,1,26.8,5,2.7,1,1,1,7.29
4,3,27.5,0,2.6,0,1,0,6.76
2,3,24.9,0,2.1,0,1,1,4.41
1,1,29.3,4,3.2,1,1,1,10.24
1,3,25.8,0,2.6,0,1,1,6.76
2,2,25.7,0,2,0,1,1,4
2,1,25.7,8,2,1,1,1,4
2,1,26.7,5,2.7,1,1,1,7.29
4,3,23.7,0,1.85,0,1,0,3.4225
2,3,26.8,0,2.65,0,1,1,7.0225
2,3,27.5,6,3.15,1,1,1,9.9225
4,3,23.4,0,1.9,0,1,0,3.61
2,3,27.9,6,2.8,1,1,1,7.84
3,3,27.5,3,3.1,1,1,1,9.61
1,1,26.1,5,2.8,1,1,1,7.84
1,1,27.7,6,2.5,1,1,1,6.25
2,1,30,5,3.3,1,1,1,10.89
3,1,28.5,9,3.25,1,1,1,10.5625
3,3,28.9,4,2.8,1,1,1,7.84
2,3,28.2,6,2.6,1,1,1,6.76
2,3,25,4,2.1,1,1,1,4.41
2,3,28.5,3,3,1,1,1,9
2,1,30.3,3,3.6,1,1,1,12.96
4,3,24.7,5,2.1,1,1,0,4.41
2,3,27.7,5,2.9,1,1,1,8.41
1,1,27.4,6,2.7,1,1,1,7.29
2,3,22.9,4,1.6,1,1,1,2.56
2,1,25.7,5,2,1,1,1,4
2,3,28.3,15,3,1,1,1,9
2,3,27.2,3,2.7,1,1,1,7.29
3,3,26.2,3,2.3,1,1,1,5.29
2,1,27.8,0,2.75,0,1,1,7.5625
4,3,25.5,0,2.25,0,1,0,5.0625
3,3,27.1,0,2.55,0,1,1,6.5025
3,3,24.5,5,2.05,1,1,1,4.2025
3,1,27,3,2.45,1,1,1,6.0025
