Ispace,Income,Gender,satis,Count,count2
1,3,Female,VD,3,3.5
1,3,Female,MD,10,10.5
1,3,Female,MS,30,30.5
1,3,Female,VS,27,27.5
1,3,Male,VD,1,1.5
1,3,Male,MD,4,4.5
1,3,Male,MS,9,9.5
1,3,Male,VS,9,9.5
2,10,Female,VD,7,7.5
2,10,Female,MD,8,8.5
2,10,Female,MS,45,45.5
2,10,Female,VS,39,39.5
2,10,Male,VD,1,1.5
2,10,Male,MD,2,2.5
2,10,Male,MS,37,37.5
2,10,Male,VS,29,29.5
3,20,Female,VD,8,8.5
3,20,Female,MD,7,7.5
3,20,Female,MS,46,46.5
3,20,Female,VS,51,51.5
3,20,Male,VD,0,0.5
3,20,Male,MD,10,10.5
3,20,Male,MS,35,35.5
3,20,Male,VS,39,39.5
4,35,Female,VD,4,4.5
4,35,Female,MD,2,2.5
4,35,Female,MS,28,28.5
4,35,Female,VS,47,47.5
4,35,Male,VD,7,7.5
4,35,Male,MD,14,14.5
4,35,Male,MS,69,69.5
4,35,Male,VS,109,109.5
